,Gender,MaritalStatus,Travelling,Role,OverTime,Qualifications,Satisfaction,Engagement,Level,Work Experience,TrainingTimesLastYear,YearsInCurrentRole,YearsSinceLastPromotion,Age,Daily,Monthly,MonthlyRate,SalaryHike,DistanceFromHome,Turnover
0,0,2,2,7,1,3,4,2,2,1,1,1,1,0.3082880981959725,-1.487720180169308,-0.0905314241837859,-1.3327821712041932,2.0641534146424503,-0.8925587108399401,0
1,1,1,1,7,0,4,4,3,2,9,2,7,7,0.9385850444380863,-1.4759882397624793,-0.3670202101941387,1.330416098294671,0.7540042265921902,1.6827555618611492,0
2,0,2,2,5,1,3,4,3,4,5,2,5,0,1.253733517559143,0.4011222253301354,2.545159705510964,1.5573353747793346,-0.2941151238480177,0.4564154320034876,0
3,1,1,2,0,0,5,4,3,3,1,3,1,1,-0.8472563032479026,1.0276078430547957,0.21436507664536458,-1.5199522197858886,1.0160340642022423,0.4564154320034876,0
4,0,1,2,5,0,3,1,1,4,2,3,2,0,1.7789809727609045,1.6775573415931135,2.330739830645792,-0.17935720714262696,-0.5561449614580697,-1.0151927238257064,0
5,1,0,0,0,0,1,1,2,5,3,3,0,0,1.253733517559143,0.9525234244510911,1.2459931860238942,-0.4114369097059215,-0.5561449614580697,-1.0151927238257064,0
6,0,2,2,0,0,4,4,2,2,1,2,1,0,-0.4270583390864935,1.4429185334565366,-0.49232547281952027,0.22427179479137213,-0.0320852862379657,-0.034120619939577025,0
7,1,2,1,6,0,3,3,3,1,5,3,1,1,0.3082880981959725,-0.5210082906466116,-0.9034590441354073,-0.3066942074072231,2.3261832522525023,-0.6472906848684078,0
8,0,2,2,1,1,1,3,3,1,5,2,0,0,-0.2169593570057889,0.8187793038132423,-0.604788891759692,-0.15578661235104235,-0.5561449614580697,-0.8925587108399401,1
9,0,1,2,7,0,3,1,3,2,7,1,2,0,-0.8472563032479026,-1.4243677019724323,-0.2899691480828792,-0.05411227150450284,-0.0320852862379657,1.3148535229038507,0
10,0,1,2,7,1,2,4,4,2,1,3,1,1,-1.2674542674093117,-0.018881241234337116,0.0028638026177407283,-0.22886940330246444,1.2780639018122941,-1.0151927238257064,0
