,Gender,MaritalStatus,Travelling,Vertical,Education,Role,OverTime,Age,Turnover,Qualifications,Satisfaction,Engagement,Level,Daily,Hour,Monthly,MonthlyRate,Work Experience,SalaryHike,Last Rating,TrainingTimesLastYear,Work&Life,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrentManager,DistanceFromHome
0,0,2,2,2,3,7,1,40,0,3,4,2,2,129,97,6287,4984,1,23,4,1,3,1,1,1,1,2
1,1,1,1,2,2,7,0,46,0,4,4,3,2,134,64,4866,24079,9,18,3,2,3,8,7,7,7,23
2,0,2,2,1,3,5,1,49,0,3,4,3,4,934,82,19833,25706,5,14,3,2,4,5,5,0,5,13
3,1,1,2,1,1,0,0,29,0,5,4,3,3,1201,32,7854,3642,1,19,3,3,2,1,1,1,1,13
4,0,1,2,1,3,5,0,54,0,3,1,1,4,1478,42,18731,13254,2,13,3,3,3,2,2,0,1,1
5,1,0,0,1,1,0,0,49,0,1,1,2,5,1169,89,13156,11590,3,13,3,3,2,1,0,0,0,1
6,0,2,2,1,1,0,0,33,0,4,4,2,2,1378,36,4222,16148,1,15,3,2,3,1,1,0,1,9
7,1,2,1,1,1,6,0,40,0,3,3,3,1,541,73,2109,12341,5,24,4,3,3,3,1,1,0,4
8,0,2,2,2,3,1,1,35,1,1,3,3,1,1112,84,3644,13423,5,13,3,2,3,1,0,0,0,2
9,0,1,2,2,2,7,0,29,0,3,1,3,2,156,100,5262,14152,7,15,3,1,3,5,2,0,3,20
10,0,1,2,0,0,7,1,25,0,2,4,4,2,755,90,6767,12899,1,20,4,3,3,1,1,1,1,1
11,0,2,1,1,1,4,0,27,0,3,1,2,3,1299,65,9669,20298,1,12,3,2,1,1,1,1,1,2
12,1,2,2,2,3,7,1,32,1,3,2,3,3,558,64,8487,26413,0,11,3,0,3,0,0,0,0,10
13,0,1,2,1,3,6,1,41,1,3,4,3,1,791,94,3637,13725,2,14,3,5,3,2,0,0,2,20
14,0,0,0,1,1,6,0,31,1,1,1,3,1,890,72,4932,15105,0,20,4,5,3,0,0,0,0,20
15,0,2,2,1,3,6,1,36,1,4,4,3,1,141,56,3621,10089,3,11,3,4,2,3,2,2,0,9
16,0,2,2,1,1,5,0,51,0,3,1,3,4,468,98,19450,22562,1,14,3,2,2,1,1,1,1,10
17,1,0,1,1,5,3,0,42,0,4,4,3,5,1032,85,18708,4051,4,13,3,2,3,2,1,1,2,21
18,1,0,2,1,3,6,0,30,0,3,3,3,1,842,60,2876,5880,1,15,3,3,3,1,1,0,1,3
19,0,0,2,1,1,0,1,34,0,3,3,2,2,1003,49,6187,14328,1,19,3,3,3,1,0,0,0,18
20,0,0,2,1,3,0,0,40,0,3,2,3,2,1225,69,18534,12313,2,14,3,4,1,1,0,0,0,2
21,0,2,2,2,1,8,0,46,0,2,1,1,1,978,30,2500,8479,1,15,3,3,1,1,1,1,1,4
22,1,0,2,2,2,7,0,42,0,3,2,1,2,1055,99,4240,4000,5,16,3,0,3,3,2,0,0,10
23,0,1,0,2,3,7,0,44,0,2,3,3,2,453,89,4502,14440,0,21,4,4,3,0,0,0,0,2
24,1,2,2,1,1,6,1,29,1,3,1,4,1,535,87,3305,19991,3,14,3,3,2,0,0,0,3,1
25,0,1,2,1,3,6,1,22,1,1,3,3,1,1252,34,2899,23787,1,18,3,5,3,1,1,1,1,10
26,1,0,1,1,3,0,0,34,0,4,4,3,2,122,33,5509,7401,7,14,3,2,3,7,7,1,7,23
27,1,1,1,1,3,0,0,39,1,4,2,2,2,207,67,4707,9981,0,18,3,1,3,0,0,0,0,25
28,0,0,2,2,2,7,0,40,0,2,2,4,4,261,40,10167,18049,1,11,3,2,3,1,1,1,1,16
29,1,2,2,2,3,7,1,50,1,2,3,3,3,1490,74,11666,2243,3,19,3,3,3,1,0,0,0,8
30,1,1,2,2,4,7,0,30,1,3,4,2,3,1327,77,8779,22059,3,11,3,4,3,3,3,3,3,2
31,0,2,0,2,5,7,1,56,0,3,2,3,3,1315,36,19319,21739,8,16,3,2,3,8,0,0,8,19
32,1,1,0,1,1,2,1,51,0,4,3,3,1,142,60,2056,17325,2,19,3,3,4,2,2,0,2,5
33,0,1,2,2,1,8,0,42,0,3,3,2,1,637,56,2830,14968,1,13,3,3,4,1,1,1,1,7
34,0,2,0,1,3,4,0,36,0,2,4,3,2,637,87,4458,23091,8,13,3,4,2,8,7,0,0,4
35,0,2,2,1,4,4,0,38,0,3,3,2,3,230,100,5500,23732,0,13,3,2,3,0,0,0,0,27
36,0,1,2,1,3,4,0,33,0,3,1,3,3,794,92,13207,13130,0,13,3,2,2,0,0,0,0,7
37,1,1,2,1,3,0,0,48,0,2,4,3,3,503,83,5458,23662,7,20,4,2,3,1,1,0,7,7
38,1,0,1,1,1,4,0,45,0,4,3,4,2,403,68,4209,12072,1,14,3,0,3,1,1,1,1,13
39,1,0,2,1,1,3,0,49,0,3,2,1,2,688,52,16140,17376,2,17,3,2,3,2,2,1,2,15
40,1,1,2,2,3,7,1,35,0,3,2,3,2,533,88,4106,13521,2,13,3,2,3,2,2,1,2,4
41,0,1,2,1,5,0,0,34,0,3,1,4,2,111,51,4564,14657,0,11,3,2,2,0,0,0,0,3
42,0,0,1,1,1,4,0,34,0,2,3,2,2,693,52,4026,11429,2,23,4,1,3,2,2,0,2,1
